Date,Value,Classification
2023-01-01,59.9,Greed
2023-01-02,47.2,Neutral
2023-01-03,63.0,Greed
2023-01-04,80.5,Extreme Greed
2023-01-05,45.3,Neutral
2023-01-06,45.3,Neutral
2023-01-07,81.6,Extreme Greed
2023-01-08,65.3,Greed
2023-01-09,40.6,Fear
2023-01-10,60.9,Greed
2023-01-11,40.7,Fear
2023-01-12,40.7,Fear
2023-01-13,54.8,Neutral
2023-01-14,11.7,Extreme Fear
2023-01-15,15.5,Extreme Fear
2023-01-16,38.8,Fear
2023-01-17,29.7,Fear
2023-01-18,56.3,Greed
2023-01-19,31.8,Fear
2023-01-20,21.8,Extreme Fear
2023-01-21,79.3,Extreme Greed
2023-01-22,45.5,Neutral
2023-01-23,51.4,Neutral
2023-01-24,21.5,Extreme Fear
2023-01-25,39.1,Fear
2023-01-26,52.2,Neutral
2023-01-27,27.0,Fear
2023-01-28,57.5,Greed
2023-01-29,38.0,Fear
2023-01-30,44.2,Fear
2023-01-31,38.0,Fear
2023-02-01,87.0,Extreme Greed
2023-02-02,49.7,Neutral
2023-02-03,28.8,Fear
2023-02-04,66.5,Greed
2023-02-05,25.6,Fear
2023-02-06,54.2,Neutral
2023-02-07,10.8,Extreme Fear
2023-02-08,23.4,Extreme Fear
2023-02-09,53.9,Neutral
2023-02-10,64.8,Greed
2023-02-11,53.4,Neutral
2023-02-12,47.7,Neutral
2023-02-13,44.0,Fear
2023-02-14,20.4,Extreme Fear
2023-02-15,35.6,Fear
2023-02-16,40.8,Fear
2023-02-17,71.1,Greed
2023-02-18,56.9,Greed
2023-02-19,14.7,Extreme Fear
2023-02-20,56.5,Greed
2023-02-21,42.3,Fear
2023-02-22,36.5,Fear
2023-02-23,62.2,Greed
2023-02-24,70.6,Greed
2023-02-25,68.6,Greed
2023-02-26,33.2,Fear
2023-02-27,43.8,Fear
2023-02-28,56.6,Greed
2023-03-01,69.5,Greed
2023-03-02,40.4,Fear
2023-03-03,46.3,Neutral
2023-03-04,27.9,Fear
2023-03-05,26.1,Fear
2023-03-06,66.3,Greed
2023-03-07,77.1,Extreme Greed
2023-03-08,48.6,Neutral
2023-03-09,70.1,Greed
2023-03-10,57.2,Greed
2023-03-11,37.1,Fear
2023-03-12,57.2,Greed
2023-03-13,80.8,Extreme Greed
2023-03-14,49.3,Neutral
2023-03-15,81.3,Extreme Greed
2023-03-16,0.0,Extreme Fear
2023-03-17,66.4,Greed
2023-03-18,51.7,Neutral
2023-03-19,44.0,Fear
2023-03-20,51.8,Neutral
2023-03-21,10.2,Extreme Fear
2023-03-22,45.6,Neutral
2023-03-23,57.1,Greed
2023-03-24,79.6,Extreme Greed
2023-03-25,39.6,Fear
2023-03-26,33.8,Fear
2023-03-27,40.0,Fear
2023-03-28,68.3,Greed
2023-03-29,56.6,Greed
2023-03-30,39.4,Fear
2023-03-31,60.3,Greed
2023-04-01,51.9,Neutral
2023-04-02,69.4,Greed
2023-04-03,36.0,Fear
2023-04-04,43.4,Fear
2023-04-05,42.2,Fear
2023-04-06,20.7,Extreme Fear
2023-04-07,55.9,Greed
2023-04-08,55.2,Greed
2023-04-09,50.1,Neutral
2023-04-10,45.3,Neutral
2023-04-11,21.7,Extreme Fear
2023-04-12,41.6,Fear
2023-04-13,43.1,Fear
2023-04-14,34.0,Fear
2023-04-15,46.8,Neutral
2023-04-16,58.1,Greed
2023-04-17,87.7,Extreme Greed
2023-04-18,53.5,Neutral
2023-04-19,55.2,Greed
2023-04-20,48.5,Neutral
2023-04-21,11.6,Extreme Fear
2023-04-22,49.5,Neutral
2023-04-23,51.2,Neutral
2023-04-24,99.3,Extreme Greed
2023-04-25,46.2,Neutral
2023-04-26,56.0,Greed
2023-04-27,49.3,Neutral
2023-04-28,26.6,Fear
2023-04-29,72.9,Greed
2023-04-30,65.0,Greed
2023-05-01,65.8,Greed
2023-05-02,31.8,Fear
2023-05-03,78.1,Extreme Greed
2023-05-04,22.0,Extreme Fear
2023-05-05,61.7,Greed
2023-05-06,93.8,Extreme Greed
2023-05-07,30.2,Fear
2023-05-08,38.7,Fear
2023-05-09,52.0,Neutral
2023-05-10,39.9,Fear
2023-05-11,19.0,Extreme Fear
2023-05-12,51.4,Neutral
2023-05-13,28.8,Fear
2023-05-14,59.5,Greed
2023-05-15,31.6,Fear
2023-05-16,81.0,Extreme Greed
2023-05-17,34.3,Fear
2023-05-18,43.6,Fear
2023-05-19,66.3,Greed
2023-05-20,25.4,Fear
2023-05-21,54.5,Neutral
2023-05-22,76.1,Extreme Greed
2023-05-23,17.9,Extreme Fear
2023-05-24,53.7,Neutral
2023-05-25,55.2,Greed
2023-05-26,65.6,Greed
2023-05-27,25.3,Fear
2023-05-28,23.6,Extreme Fear
2023-05-29,60.4,Greed
2023-05-30,55.9,Greed
2023-05-31,55.0,Greed
2023-06-01,56.9,Greed
2023-06-02,36.4,Fear
2023-06-03,54.6,Neutral
2023-06-04,55.9,Greed
2023-06-05,35.7,Fear
2023-06-06,87.3,Extreme Greed
2023-06-07,59.5,Greed
2023-06-08,26.2,Fear
2023-06-09,63.1,Greed
2023-06-10,30.5,Fear
2023-06-11,65.7,Greed
2023-06-12,73.2,Greed
2023-06-13,33.6,Fear
2023-06-14,69.3,Greed
2023-06-15,58.3,Greed
2023-06-16,66.4,Greed
2023-06-17,87.9,Extreme Greed
2023-06-18,45.1,Neutral
2023-06-19,34.9,Fear
2023-06-20,32.2,Fear
2023-06-21,33.7,Fear
2023-06-22,48.5,Neutral
2023-06-23,56.8,Greed
2023-06-24,55.5,Greed
2023-06-25,66.5,Greed
2023-06-26,50.3,Neutral
2023-06-27,79.1,Extreme Greed
2023-06-28,44.7,Fear
2023-06-29,100.0,Extreme Greed
2023-06-30,62.5,Greed
2023-07-01,32.9,Fear
2023-07-02,28.6,Fear
2023-07-03,59.6,Greed
2023-07-04,45.5,Neutral
2023-07-05,64.3,Greed
2023-07-06,59.5,Greed
2023-07-07,48.5,Neutral
2023-07-08,33.1,Fear
2023-07-09,19.7,Extreme Fear
2023-07-10,41.1,Fear
2023-07-11,67.1,Greed
2023-07-12,54.3,Neutral
2023-07-13,25.1,Fear
2023-07-14,53.5,Neutral
2023-07-15,57.7,Greed
2023-07-16,32.3,Fear
2023-07-17,53.1,Neutral
2023-07-18,51.2,Neutral
2023-07-19,27.1,Fear
2023-07-20,57.2,Greed
2023-07-21,61.2,Greed
2023-07-22,71.7,Greed
2023-07-23,71.1,Greed
2023-07-24,22.4,Extreme Fear
2023-07-25,31.2,Fear
2023-07-26,60.3,Greed
2023-07-27,60.3,Greed
2023-07-28,60.3,Greed
2023-07-29,100.0,Extreme Greed
2023-07-30,61.4,Greed
2023-07-31,72.7,Greed
2023-08-01,69.1,Greed
2023-08-02,63.0,Greed
2023-08-03,43.7,Fear
2023-08-04,65.2,Greed
2023-08-05,34.5,Fear
2023-08-06,45.3,Neutral
2023-08-07,40.3,Fear
2023-08-08,51.6,Neutral
2023-08-09,96.3,Extreme Greed
2023-08-10,12.7,Extreme Fear
2023-08-11,63.7,Greed
2023-08-12,17.7,Extreme Fear
2023-08-13,40.6,Fear
2023-08-14,71.8,Greed
2023-08-15,51.3,Neutral
2023-08-16,28.4,Fear
2023-08-17,35.7,Fear
2023-08-18,63.6,Greed
2023-08-19,35.4,Fear
2023-08-20,54.3,Neutral
2023-08-21,50.9,Neutral
2023-08-22,37.0,Fear
2023-08-23,92.9,Extreme Greed
2023-08-24,62.7,Greed
2023-08-25,9.5,Extreme Fear
2023-08-26,53.7,Neutral
2023-08-27,36.8,Fear
2023-08-28,67.0,Greed
2023-08-29,34.1,Fear
2023-08-30,47.7,Neutral
2023-08-31,60.1,Greed
2023-09-01,67.3,Greed
2023-09-02,26.0,Fear
2023-09-03,43.3,Fear
2023-09-04,40.5,Fear
2023-09-05,36.9,Fear
2023-09-06,85.3,Extreme Greed
2023-09-07,58.1,Greed
2023-09-08,24.8,Extreme Fear
2023-09-09,68.4,Greed
2023-09-10,92.4,Extreme Greed
2023-09-11,70.6,Greed
2023-09-12,19.6,Extreme Fear
2023-09-13,40.3,Fear
2023-09-14,75.3,Extreme Greed
2023-09-15,35.8,Fear
2023-09-16,58.9,Greed
2023-09-17,65.5,Greed
2023-09-18,31.5,Fear
2023-09-19,48.8,Neutral
2023-09-20,0.0,Extreme Fear
2023-09-21,29.5,Fear
2023-09-22,44.9,Fear
2023-09-23,25.0,Fear
2023-09-24,82.6,Extreme Greed
2023-09-25,21.4,Extreme Fear
2023-09-26,41.2,Fear
2023-09-27,52.6,Neutral
2023-09-28,78.8,Extreme Greed
2023-09-29,21.3,Extreme Fear
2023-09-30,73.3,Greed
2023-10-01,50.2,Neutral
2023-10-02,30.4,Fear
2023-10-03,59.2,Greed
2023-10-04,54.0,Neutral
2023-10-05,38.0,Fear
2023-10-06,51.4,Neutral
2023-10-07,42.3,Fear
2023-10-08,52.3,Neutral
2023-10-09,63.2,Greed
2023-10-10,81.7,Extreme Greed
2023-10-11,25.2,Fear
2023-10-12,92.7,Extreme Greed
2023-10-13,11.0,Extreme Fear
2023-10-14,47.0,Neutral
2023-10-15,61.8,Greed
2023-10-16,55.6,Greed
2023-10-17,37.5,Fear
2023-10-18,45.8,Neutral
2023-10-19,40.1,Fear
2023-10-20,38.2,Fear
2023-10-21,67.0,Greed
2023-10-22,57.1,Greed
2023-10-23,36.1,Fear
2023-10-24,68.0,Greed
2023-10-25,56.1,Greed
2023-10-26,66.3,Greed
2023-10-27,62.6,Greed
2023-10-28,33.4,Fear
2023-10-29,38.8,Fear
2023-10-30,64.9,Greed
2023-10-31,62.2,Greed
2023-11-01,49.6,Neutral
2023-11-02,52.3,Neutral
2023-11-03,75.6,Extreme Greed
2023-11-04,38.2,Fear
2023-11-05,60.9,Greed
2023-11-06,46.0,Neutral
2023-11-07,45.6,Neutral
2023-11-08,72.0,Greed
2023-11-09,66.5,Greed
2023-11-10,66.3,Greed
2023-11-11,76.1,Extreme Greed
2023-11-12,50.4,Neutral
2023-11-13,63.6,Greed
2023-11-14,43.8,Fear
2023-11-15,56.5,Greed
2023-11-16,47.4,Neutral
2023-11-17,51.9,Neutral
2023-11-18,61.9,Greed
2023-11-19,33.6,Fear
2023-11-20,91.8,Extreme Greed
2023-11-21,29.9,Fear
2023-11-22,25.7,Fear
2023-11-23,73.2,Greed
2023-11-24,65.8,Greed
2023-11-25,62.5,Greed
2023-11-26,62.6,Greed
2023-11-27,49.8,Neutral
2023-11-28,32.1,Fear
2023-11-29,51.5,Neutral
2023-11-30,36.5,Fear
2023-12-01,69.5,Greed
2023-12-02,47.1,Neutral
2023-12-03,33.5,Fear
2023-12-04,43.6,Fear
2023-12-05,58.3,Greed
2023-12-06,38.7,Fear
2023-12-07,33.6,Fear
2023-12-08,54.9,Neutral
2023-12-09,54.9,Neutral
2023-12-10,39.9,Fear
2023-12-11,40.6,Fear
2023-12-12,54.6,Neutral
2023-12-13,21.0,Extreme Fear
2023-12-14,21.9,Extreme Fear
2023-12-15,35.6,Fear
2023-12-16,45.7,Neutral
2023-12-17,56.2,Greed
2023-12-18,79.5,Extreme Greed
2023-12-19,67.2,Greed
2023-12-20,46.8,Neutral
2023-12-21,49.6,Neutral
2023-12-22,29.9,Fear
2023-12-23,49.6,Neutral
2023-12-24,44.2,Fear
2023-12-25,56.5,Greed
2023-12-26,33.5,Fear
2023-12-27,60.4,Greed
2023-12-28,80.7,Extreme Greed
2023-12-29,47.8,Neutral
2023-12-30,58.0,Greed
2023-12-31,63.8,Greed
2024-01-01,42.0,Fear
2024-01-02,54.5,Neutral
2024-01-03,50.3,Neutral
2024-01-04,52.0,Neutral
2024-01-05,34.5,Fear
2024-01-06,50.5,Neutral
2024-01-07,60.0,Greed
2024-01-08,79.0,Extreme Greed
2024-01-09,69.2,Greed
2024-01-10,93.1,Extreme Greed
2024-01-11,34.7,Fear
2024-01-12,67.4,Greed
2024-01-13,53.7,Neutral
2024-01-14,93.8,Extreme Greed
2024-01-15,33.8,Fear
2024-01-16,33.2,Fear
2024-01-17,38.0,Fear
2024-01-18,7.5,Extreme Fear
2024-01-19,39.5,Fear
2024-01-20,34.8,Fear
2024-01-21,53.0,Neutral
2024-01-22,56.8,Greed
2024-01-23,87.5,Extreme Greed
2024-01-24,69.0,Greed
2024-01-25,38.5,Fear
2024-01-26,32.0,Fear
2024-01-27,59.8,Greed
2024-01-28,23.6,Extreme Fear
2024-01-29,86.6,Extreme Greed
2024-01-30,73.6,Greed
2024-01-31,40.6,Fear
2024-02-01,15.7,Extreme Fear
2024-02-02,77.1,Extreme Greed
2024-02-03,47.7,Neutral
2024-02-04,74.8,Greed
2024-02-05,18.1,Extreme Fear
2024-02-06,38.0,Fear
2024-02-07,50.1,Neutral
2024-02-08,50.9,Neutral
2024-02-09,41.0,Fear
2024-02-10,62.5,Greed
2024-02-11,28.6,Fear
2024-02-12,47.2,Neutral
2024-02-13,52.4,Neutral
2024-02-14,60.3,Greed
2024-02-15,64.2,Greed
2024-02-16,27.5,Fear
2024-02-17,19.3,Extreme Fear
2024-02-18,75.6,Extreme Greed
2024-02-19,56.6,Greed
2024-02-20,35.0,Fear
2024-02-21,81.0,Extreme Greed
2024-02-22,52.3,Neutral
2024-02-23,73.6,Greed
2024-02-24,51.4,Neutral
2024-02-25,91.2,Extreme Greed
2024-02-26,85.1,Extreme Greed
2024-02-27,45.0,Neutral
2024-02-28,69.4,Greed
2024-02-29,62.9,Greed
2024-03-01,77.4,Extreme Greed
2024-03-02,30.7,Fear
2024-03-03,63.7,Greed
2024-03-04,71.2,Greed
2024-03-05,14.8,Extreme Fear
2024-03-06,26.3,Fear
2024-03-07,9.2,Extreme Fear
2024-03-08,44.6,Fear
2024-03-09,64.4,Greed
2024-03-10,80.0,Extreme Greed
2024-03-11,51.5,Neutral
2024-03-12,82.6,Extreme Greed
2024-03-13,22.4,Extreme Fear
2024-03-14,15.9,Extreme Fear
2024-03-15,48.9,Neutral
2024-03-16,57.7,Greed
2024-03-17,49.3,Neutral
2024-03-18,8.7,Extreme Fear
2024-03-19,48.2,Neutral
2024-03-20,23.9,Extreme Fear
2024-03-21,63.4,Greed
2024-03-22,57.3,Greed
2024-03-23,31.2,Fear
2024-03-24,39.7,Fear
2024-03-25,28.8,Fear
2024-03-26,48.7,Neutral
2024-03-27,69.1,Greed
2024-03-28,30.3,Fear
2024-03-29,60.1,Greed
2024-03-30,39.4,Fear
2024-03-31,34.1,Fear
2024-04-01,47.9,Neutral
2024-04-02,29.3,Fear
2024-04-03,38.9,Fear
2024-04-04,26.0,Fear
2024-04-05,89.3,Extreme Greed
2024-04-06,50.7,Neutral
2024-04-07,36.0,Fear
2024-04-08,54.3,Neutral
2024-04-09,47.8,Neutral
2024-04-10,45.6,Neutral
2024-04-11,62.3,Greed
2024-04-12,65.2,Greed
2024-04-13,39.4,Fear
2024-04-14,38.5,Fear
2024-04-15,44.5,Fear
2024-04-16,4.0,Extreme Fear
2024-04-17,19.7,Extreme Fear
2024-04-18,77.3,Extreme Greed
2024-04-19,82.9,Extreme Greed
2024-04-20,45.0,Neutral
2024-04-21,61.5,Greed
2024-04-22,56.2,Greed
2024-04-23,100.0,Extreme Greed
2024-04-24,72.4,Greed
2024-04-25,47.4,Neutral
2024-04-26,30.9,Fear
2024-04-27,17.9,Extreme Fear
2024-04-28,54.1,Neutral
2024-04-29,34.9,Fear
2024-04-30,21.6,Extreme Fear
2024-05-01,37.1,Fear
2024-05-02,28.4,Fear
2024-05-03,83.7,Extreme Greed
2024-05-04,67.6,Greed
2024-05-05,49.8,Neutral
2024-05-06,79.6,Extreme Greed
2024-05-07,51.5,Neutral
2024-05-08,32.8,Fear
2024-05-09,80.5,Extreme Greed
2024-05-10,60.8,Greed
2024-05-11,29.3,Fear
2024-05-12,46.2,Neutral
2024-05-13,32.5,Fear
2024-05-14,22.3,Extreme Fear
2024-05-15,68.5,Greed
2024-05-16,88.2,Extreme Greed
2024-05-17,22.0,Extreme Fear
2024-05-18,61.3,Greed
2024-05-19,37.0,Fear
2024-05-20,40.3,Fear
2024-05-21,38.2,Fear
2024-05-22,32.7,Fear
2024-05-23,51.0,Neutral
2024-05-24,33.4,Fear
2024-05-25,55.4,Greed
2024-05-26,49.0,Neutral
2024-05-27,45.2,Neutral
2024-05-28,31.8,Fear
2024-05-29,38.5,Fear
2024-05-30,65.1,Greed
2024-05-31,60.0,Greed
2024-06-01,30.4,Fear
2024-06-02,52.0,Neutral
2024-06-03,65.0,Greed
2024-06-04,16.6,Extreme Fear
2024-06-05,60.9,Greed
2024-06-06,36.7,Fear
2024-06-07,61.4,Greed
2024-06-08,34.7,Fear
2024-06-09,13.9,Extreme Fear
2024-06-10,17.4,Extreme Fear
2024-06-11,51.0,Neutral
2024-06-12,55.2,Greed
2024-06-13,31.9,Fear
2024-06-14,62.8,Greed
2024-06-15,16.8,Extreme Fear
2024-06-16,48.7,Neutral
2024-06-17,25.8,Fear
2024-06-18,37.0,Fear
2024-06-19,50.9,Neutral
2024-06-20,32.8,Fear
2024-06-21,42.3,Fear
2024-06-22,70.1,Greed
2024-06-23,38.5,Fear
2024-06-24,66.7,Greed
2024-06-25,27.4,Fear
2024-06-26,60.6,Greed
2024-06-27,78.8,Extreme Greed
2024-06-28,0.6,Extreme Fear
2024-06-29,34.1,Fear
2024-06-30,61.5,Greed
2024-07-01,45.9,Neutral
2024-07-02,57.4,Greed
2024-07-03,37.9,Fear
2024-07-04,51.7,Neutral
2024-07-05,46.9,Neutral
2024-07-06,73.4,Greed
2024-07-07,55.1,Greed
2024-07-08,56.8,Greed
2024-07-09,41.8,Fear
2024-07-10,40.2,Fear
2024-07-11,41.3,Fear
2024-07-12,57.9,Greed
2024-07-13,41.6,Fear
2024-07-14,55.8,Greed
2024-07-15,91.5,Extreme Greed
2024-07-16,67.4,Greed
2024-07-17,43.5,Fear
2024-07-18,74.0,Greed
2024-07-19,41.8,Fear
2024-07-20,9.2,Extreme Fear
2024-07-21,29.8,Fear
2024-07-22,12.6,Extreme Fear
2024-07-23,43.0,Fear
2024-07-24,50.4,Neutral
2024-07-25,83.5,Extreme Greed
2024-07-26,56.5,Greed
2024-07-27,45.6,Neutral
2024-07-28,66.6,Greed
2024-07-29,5.8,Extreme Fear
2024-07-30,54.7,Neutral
2024-07-31,65.4,Greed
2024-08-01,20.4,Extreme Fear
2024-08-02,72.9,Greed
2024-08-03,56.8,Greed
2024-08-04,41.7,Fear
2024-08-05,62.7,Greed
2024-08-06,95.4,Extreme Greed
2024-08-07,53.6,Neutral
2024-08-08,55.0,Neutral
2024-08-09,40.8,Fear
2024-08-10,33.0,Fear
2024-08-11,66.6,Greed
2024-08-12,32.9,Fear
2024-08-13,51.4,Neutral
2024-08-14,40.4,Fear
2024-08-15,59.6,Greed
2024-08-16,56.7,Greed
2024-08-17,70.8,Greed
2024-08-18,39.8,Fear
2024-08-19,44.6,Fear
2024-08-20,30.4,Fear
2024-08-21,41.1,Fear
2024-08-22,57.5,Greed
2024-08-23,65.1,Greed
2024-08-24,31.6,Fear
2024-08-25,67.4,Greed
2024-08-26,77.1,Extreme Greed
2024-08-27,58.3,Greed
2024-08-28,87.5,Extreme Greed
2024-08-29,34.5,Fear
2024-08-30,25.1,Fear
2024-08-31,14.4,Extreme Fear
2024-09-01,79.9,Extreme Greed
2024-09-02,63.1,Greed
2024-09-03,48.9,Neutral
2024-09-04,55.6,Greed
2024-09-05,27.5,Fear
2024-09-06,98.9,Extreme Greed
2024-09-07,52.6,Neutral
2024-09-08,52.2,Neutral
2024-09-09,64.5,Greed
2024-09-10,59.6,Greed
2024-09-11,54.5,Neutral
2024-09-12,34.2,Fear
2024-09-13,59.4,Greed
2024-09-14,87.6,Extreme Greed
2024-09-15,76.9,Extreme Greed
2024-09-16,81.9,Extreme Greed
2024-09-17,39.8,Fear
2024-09-18,30.2,Fear
2024-09-19,47.5,Neutral
2024-09-20,51.1,Neutral
2024-09-21,71.9,Greed
2024-09-22,16.2,Extreme Fear
2024-09-23,80.6,Extreme Greed
2024-09-24,46.8,Neutral
2024-09-25,41.5,Fear
2024-09-26,29.8,Fear
2024-09-27,16.9,Extreme Fear
2024-09-28,66.5,Greed
2024-09-29,51.5,Neutral
2024-09-30,24.2,Extreme Fear
2024-10-01,24.1,Extreme Fear
2024-10-02,43.3,Fear
2024-10-03,83.4,Extreme Greed
2024-10-04,44.8,Fear
2024-10-05,19.9,Extreme Fear
2024-10-06,45.1,Neutral
2024-10-07,44.5,Fear
2024-10-08,0.0,Extreme Fear
2024-10-09,48.9,Neutral
2024-10-10,45.4,Neutral
2024-10-11,63.9,Greed
2024-10-12,87.0,Extreme Greed
2024-10-13,72.5,Greed
2024-10-14,44.6,Fear
2024-10-15,27.9,Fear
2024-10-16,100.0,Extreme Greed
2024-10-17,51.2,Neutral
2024-10-18,50.3,Neutral
2024-10-19,49.5,Neutral
2024-10-20,54.0,Neutral
2024-10-21,47.1,Neutral
2024-10-22,38.5,Fear
2024-10-23,39.1,Fear
2024-10-24,49.3,Neutral
2024-10-25,39.1,Fear
2024-10-26,35.7,Fear
2024-10-27,52.1,Neutral
2024-10-28,44.9,Fear
2024-10-29,80.1,Extreme Greed
2024-10-30,0.0,Extreme Fear
2024-10-31,71.8,Greed
2024-11-01,74.9,Greed
2024-11-02,8.5,Extreme Fear
2024-11-03,43.1,Fear
2024-11-04,42.6,Fear
2024-11-05,21.8,Extreme Fear
2024-11-06,34.4,Fear
2024-11-07,27.8,Fear
2024-11-08,85.0,Extreme Greed
2024-11-09,68.7,Greed
2024-11-10,75.4,Extreme Greed
2024-11-11,64.4,Greed
2024-11-12,27.4,Fear
2024-11-13,39.5,Fear
2024-11-14,59.8,Greed
2024-11-15,25.6,Fear
2024-11-16,64.3,Greed
2024-11-17,45.2,Neutral
2024-11-18,42.5,Fear
2024-11-19,64.2,Greed
2024-11-20,58.9,Greed
2024-11-21,42.8,Fear
2024-11-22,73.2,Greed
2024-11-23,28.4,Fear
2024-11-24,62.3,Greed
2024-11-25,61.9,Greed
2024-11-26,43.8,Fear
2024-11-27,56.5,Greed
2024-11-28,25.0,Extreme Fear
2024-11-29,68.5,Greed
2024-11-30,46.3,Neutral
2024-12-01,39.5,Fear
2024-12-02,71.0,Greed
2024-12-03,35.9,Fear
2024-12-04,21.8,Extreme Fear
2024-12-05,18.9,Extreme Fear
2024-12-06,62.1,Greed
2024-12-07,24.4,Extreme Fear
2024-12-08,85.1,Extreme Greed
2024-12-09,8.4,Extreme Fear
2024-12-10,83.9,Extreme Greed
2024-12-11,54.2,Neutral
2024-12-12,48.1,Neutral
2024-12-13,39.1,Fear
2024-12-14,58.0,Greed
2024-12-15,49.2,Neutral
2024-12-16,72.1,Greed
2024-12-17,52.3,Neutral
2024-12-18,53.0,Neutral
2024-12-19,42.7,Fear
2024-12-20,48.9,Neutral
2024-12-21,56.2,Greed
2024-12-22,15.8,Extreme Fear
2024-12-23,23.0,Extreme Fear
2024-12-24,64.9,Greed
2024-12-25,53.4,Neutral
2024-12-26,46.3,Neutral
2024-12-27,50.4,Neutral
2024-12-28,57.0,Greed
2024-12-29,39.2,Fear
2024-12-30,34.4,Fear
2024-12-31,53.9,Neutral
